=== ViT-style Transformer, param-matched (compiled) ===
L=   196  it/s= 115.99  peak_mem=  0.13 GB
L=   256  it/s= 113.34  peak_mem=  0.13 GB
L=   320  it/s=  92.97  peak_mem=  0.13 GB
L=   392  it/s=  78.81  peak_mem=  0.13 GB
L=   512  it/s=  74.84  peak_mem=  0.13 GB
L=   640  it/s=  56.97  peak_mem=  0.13 GB
L=   784  it/s=  43.35  peak_mem=  0.14 GB
L=  1024  it/s=  34.83  peak_mem=  0.15 GB
L=  1568  it/s=  19.53  peak_mem=  0.18 GB
L=  3136  it/s=   7.52  peak_mem=  0.24 GB
L=  6272  it/s=   2.52  peak_mem=  0.27 GB
=== Jamba single-graph compile (custom-op registered) ===
L=   196  it/s=  80.34  peak_mem=  0.12 GB
L=   256  it/s=  86.28  peak_mem=  0.12 GB
L=   320  it/s=  56.74  peak_mem=  0.12 GB
L=   392  it/s=  51.76  peak_mem=  0.12 GB
L=   512  it/s=  53.51  peak_mem=  0.13 GB
L=   640  it/s=  30.22  peak_mem=  0.13 GB
L=   784  it/s=  27.57  peak_mem=  0.13 GB
L=  1024  it/s=  27.55  peak_mem=  0.13 GB
L=  1568  it/s=  14.31  peak_mem=  0.14 GB
L=  3136  it/s=   7.23  peak_mem=  0.18 GB
L=  6272  it/s=   3.41  peak_mem=  0.27 GB
=== Jamba surgical compile (previous best) ===
L=   196  it/s=  21.59  peak_mem=  0.22 GB
L=   256  it/s=  20.79  peak_mem=  0.26 GB
L=   320  it/s=  20.99  peak_mem=  0.30 GB
L=   392  it/s=  21.12  peak_mem=  0.35 GB
L=   512  it/s=  21.08  peak_mem=  0.42 GB
L=   640  it/s=  21.31  peak_mem=  0.52 GB
L=   784  it/s=  20.77  peak_mem=  0.60 GB
L=  1024  it/s=  20.27  peak_mem=  0.75 GB
L=  1568  it/s=  12.49  peak_mem=  1.10 GB
L=  3136  it/s=   6.23  peak_mem=  2.11 GB
L=  6272  it/s=   2.98  peak_mem=  4.08 GB
